schema,relation,constraint,class
public,application_access_directory_v1,application_access_directory_v1_created_by_fkey,N
public,application_finance_visibility_policy_v1,application_finance_visibility_policy_v1_updated_by_fkey,N
public,attendance_events,attendance_events_created_by_fkey,N
public,attendance_events,attendance_events_location_id_fkey,N
public,attendance_events,attendance_events_shift_id_fkey,N
public,availability_exception_reviews_v2,availability_exception_reviews_v2_constraint_id_fkey,N
public,availability_exception_reviews_v2,availability_exception_reviews_v2_hot_day_event_id_fkey,N
public,availability_exception_reviews_v2,availability_exception_reviews_v2_matrix_version_id_fkey,N
public,availability_exception_reviews_v2,availability_exception_reviews_v2_requested_by_fkey,N
public,availability_exception_reviews_v2,availability_exception_reviews_v2_reviewed_by_fkey,N
public,business_app_integrations_v1,business_app_integrations_v1_created_by_fkey,N
public,business_app_integrations_v1,business_app_integrations_v1_updated_by_fkey,N
public,composite_schedules,composite_schedules_created_by_fkey,N
public,composite_schedules,composite_schedules_matrix_version_id_fkey,N
public,demand_rules,demand_rules_location_id_fkey,N
public,employee_availability_history,employee_availability_history_changed_by_fkey,N
public,employee_availability_history,employee_availability_history_employee_id_fkey,N
public,employee_availability,employee_availability_updated_by_fkey,N
public,employee_hr_profiles,employee_hr_profiles_updated_by_fkey,N
public,employee_locations,employee_locations_location_id_fkey,N
public,employee_pay_rates_v2,employee_pay_rates_v2_created_by_fkey,N
public,employee_pay_rates_v2,employee_pay_rates_v2_updated_by_fkey,N
public,employee_requests_v1,employee_requests_v1_constraint_id_fkey,N
public,employee_requests_v1,employee_requests_v1_legacy_review_id_fkey,N
public,employee_requests_v1,employee_requests_v1_requested_by_fkey,N
public,employee_requests_v1,employee_requests_v1_reviewed_by_fkey,N
public,employee_time_constraints_v2,employee_time_constraints_v2_created_by_fkey,N
public,employee_time_constraints_v2,employee_time_constraints_v2_supersedes_id_fkey,N
public,employee_weekly_work_patterns_v2,employee_weekly_work_patterns_v2_created_by_fkey,N
public,employee_weekly_work_patterns_v2,employee_weekly_work_patterns_v2_location_id_fkey,N
public,employee_weekly_work_patterns_v2,employee_weekly_work_patterns_v2_role_id_fkey,N
public,employee_weekly_work_patterns_v2,employee_weekly_work_patterns_v2_supersedes_id_fkey,N
public,employees,employees_archived_by_fkey,N
public,employer_cost_components_v2,employer_cost_components_v2_created_by_fkey,N
public,employer_cost_components_v2,employer_cost_components_v2_supersedes_id_fkey,N
public,event_demand_changes,event_demand_changes_event_id_fkey,N
public,integration_runs,integration_runs_executed_by_fkey,N
public,matrix_conflicts,matrix_conflicts_composite_schedule_id_fkey,N
public,matrix_conflicts,matrix_conflicts_employee_id_fkey,N
public,matrix_conflicts,matrix_conflicts_resolved_by_fkey,N
public,matrix_conflicts,matrix_conflicts_role_plan_section_id_fkey,N
public,matrix_demand,matrix_demand_function_id_fkey,N
public,matrix_demand,matrix_demand_role_id_fkey,N
public,matrix_employee_duties_v2,matrix_employee_duties_v2_matrix_version_id_location_id_fkey,N
public,matrix_employee_duties_v2,matrix_employee_duties_v2_matrix_version_id_role_id_fkey,N
public,matrix_employee_profiles_v2,matrix_employee_profiles_v2_archived_by_fkey,N
public,matrix_employee_profiles_v2,matrix_employee_profiles_v2_created_by_fkey,N
public,matrix_employee_profiles_v2,matrix_employee_profiles_v2_updated_by_fkey,N
public,matrix_employee_roles_v2,matrix_employee_roles_v2_created_by_fkey,N
public,matrix_employee_roles_v2,matrix_employee_roles_v2_updated_by_fkey,N
public,matrix_employee_roles,matrix_employee_roles_employee_id_fkey,N
public,matrix_employee_roles,matrix_employee_roles_role_id_fkey,N
public,matrix_import_runs,matrix_import_runs_created_by_fkey,N
public,matrix_import_runs,matrix_import_runs_matrix_version_id_fkey,N
public,matrix_pay_rule_duties_v2,matrix_pay_rule_duties_v2_matrix_version_id_pay_rule_id_fkey,N
public,matrix_pay_rule_locations_v2,matrix_pay_rule_locations_v2_matrix_version_id_pay_rule_id_fkey,N
public,matrix_pay_rule_roles_v2,matrix_pay_rule_roles_v2_matrix_version_id_pay_rule_id_fkey,N
public,matrix_pay_rule_shifts_v2,matrix_pay_rule_shifts_v2_matrix_version_id_pay_rule_id_fkey,N
public,matrix_role_functions,matrix_role_functions_function_id_fkey,N
public,matrix_scenario_budgets_v2,matrix_scenario_budgets_v2_matrix_version_id_duty_id_fkey,N
public,matrix_scenario_budgets_v2,matrix_scenario_budgets_v2_matrix_version_id_location_id_fkey,N
public,matrix_scenario_budgets_v2,matrix_scenario_budgets_v2_matrix_version_id_role_id_fkey,N
public,matrix_scenario_pay_rule_overrides_v2,matrix_scenario_pay_rule_over_matrix_version_id_pay_rule_i_fkey,N
public,matrix_scenario_pay_rule_overrides_v2,matrix_scenario_pay_rule_over_matrix_version_id_scenario_i_fkey,N
public,matrix_scenario_pay_rule_overrides_v2,matrix_scenario_pay_rule_overrides_v2_matrix_version_id_fkey,R
public,matrix_scenario_strategies_v2,matrix_scenario_strategies_v2_matrix_version_id_fkey,R
public,matrix_scenario_strategies_v2,matrix_scenario_strategies_v2_matrix_version_id_scenario_i_fkey,N
public,matrix_scenario_strategies_v2,matrix_scenario_strategies_v2_matrix_version_id_strategy_i_fkey,N
public,matrix_scope_grants_v2,matrix_scope_grants_v2_created_by_fkey,N
public,matrix_shift_templates,matrix_shift_templates_location_id_fkey,N
public,matrix_strategies_v2,matrix_strategies_v2_legacy_optimizer_profile_id_fkey,N
public,matrix_versions,matrix_versions_base_version_id_fkey,N
public,matrix_versions,matrix_versions_created_by_fkey,N
public,matrix_versions,matrix_versions_published_by_fkey,N
public,monthly_budget_revisions_v2,monthly_budget_revisions_v2_created_by_fkey,N
public,monthly_budgets,monthly_budgets_updated_by_fkey,N
public,notifications,notifications_task_id_fkey,N
public,operational_assignment_replacements_v2,operational_assignment_replacement_replacement_employee_id_fkey,N
